ID_STRUTTURA,PROVINCIA,NOME_COMUNE,DENOMINAZIONE_STRUTTURA,CATEGORIA,CLASSIFICAZIONE,INDIRIZZO,CAP,FRAZIONE,LOCALITA,EMAIL,TEL,FAX,WEB,CAMERE,SUITE,LETTI,BAGNI,PRIMA_COLAZIONE,IN_ABITATO,SUL_LAGO,VICINO_ELIPORTO,VICINO_AEREOPORTO,ZONA_CENTRALE,VICINO_IMP_RISALITA,ZONA_PERIFERICA,ZONA_STAZIONE_FS,ATTREZZATURE,ATTREZZATURE_CARTE,ATTREZZATURE_LINGUE,ATTREZZATURE_SPORT,ATTREZZATURE_CONGRESSI,geo_y,geo_x,location
9502555,MI,MILANO,CARROBBIO,Alberghiere,Alberghi 4 stelle,VIA MEDICI 3,20123,,,info@hotelcarrobbiomilano.com,02 89010740,02 8053334,www.hotelcarrobbiomilano.com (http://www.hotelcarrobbiomilano.com),52,,85,54,1,,,,,1,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Estintori,Lavaggio e stiratura biancheria,Riscaldamento,Sala televisione separata,Servizio congressi,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Bank Americard,CartaSi,Diners,JCB,Maestro,Master Card,Visa","Arabo,Francese,Inglese,Spagnolo,Tedesco",,"Congressi capacita' Max 20,Congressi capacita' Min,Numero sale congressi",9.18134494,45.46062203,"(45.46062203, 9.18134494)"
9511743,MI,MILANO,CARLYLE BRERA HOTEL,Alberghiere,Alberghi 4 stelle,CORSO GIUSEPPE GARIBALDI 84,20121,,,carlylebrera@legalmail.it,02 29003888,02 29003993,www.hotelcarlyle.com (http://www.hotelcarlyle.com),97,2,188,97,1,,,,,1,,,,"Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Riscaldamento,Ristorante,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Carta Moneta,CartaSi,Diners,JCB,Maestro,Master Card,Visa","Francese,Inglese,Portoghese,Spagnolo,Tedesco",,,9.18428422,45.47696477,"(45.47696477, 9.18428422)"
9514180,MI,MILANO,MELIA' MILANO,Alberghiere,Alberghi 5 stelle,VIA MASACCIO 19,20149,,,melia.milano@melia.com,02 444061,02 44406600,www.meliahotels.com (http://www.meliahotels.com),291,,548,291,1,,,,,,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bagno turco,Bar,Custodia valori in cassette sicurezza,Estintori,Fitness/centro salute,Internet point,Jacuzzi/Idromassaggio,Lavaggio e stiratura biancheria,Riscaldamento,Ristorante,Sala accoglienza,Sala lettura separata,Sala televisione separata,Sauna privata,Servizi baby sitting,Servizio congressi,Servizio in camera,SKY,Tavernetta o tavola calda,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Bank Americard,Carta Moneta,CartaSi,Citibank,Diners,Eurocard,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 480,Congressi capacita' Min 2,Numero sale congressi 13",9.14520574,45.47890274,"(45.47890274, 9.14520574)"
9507614,MI,MILANO,JOHNNY,Alberghiere,Alberghi 3 stelle,VIA GIOVANNI PRATI 6,20145,,,info@hoteljohnny.com,02 341812,02 33610521,www.hoteljohnny.com (http://www.hoteljohnny.com),31,,56,31,1,,,,,,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Parcheggio custodito,Riscaldamento,Sala lettura separata,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,CartaSi,Key Client,Maestro,Master Card,Visa,Visa Electron",Inglese,,,9.16223194,45.47861762,"(45.47861762, 9.16223194)"
9508454,MI,MILANO,METRO',Alberghiere,Alberghi 3 stelle,CORSO VERCELLI 61,20144,,,info@hotelmetro.it,02 4987897,02 48010195,www.hotelmetro.it (http://www.hotelmetro.it),42,4,68,42,1,,,,,,,,,"Access. diversamente abili totale,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Riscaldamento,Sala televisione separata,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,AmexCo,Bancomat,Bank Americard,Carta Moneta,CartaSi,Carte Blanche,Citibank,Diners,Eurocard,Maestro,Master Card,Top Card,Visa,Visa Electron","Francese,Inglese,Spagnolo,Tedesco",,,9.15696325,45.46675348,"(45.46675348, 9.15696325)"
9528468,MI,MILANO,MERCURE MILANO SOLARI,Alberghiere,Alberghi 4 stelle,VIA PIETRO ORSEOLO 1,20144,,,h7926-gl@accor.com,02 5817801,02 83242220,www.mercure.com (http://www.mercure.com),59,2,103,62,,,,,,1,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Riscaldamento,Servizi baby sitting,Servizio in camera,Televisione satellitare,Videogiochi,WI-FI in aree comuni","American express,Bancomat,CartaSi,Diners,Maestro,Master Card,Visa","Arabo,Francese,Inglese,Russo,Spagnolo,Tedesco",,,9.16863048,45.45683109,"(45.45683109, 9.16863048)"
9505947,MI,MILANO,IBIS MILANO CENTRO,Alberghiere,Alberghi 3 stelle,VIA FINOCCHIARO APRILE 2,20124,,,H0933@accor.com,02 63151,02 6598026,www.ibis.com (http://www.ibis.com),439,,613,448,,,,,,,,,1,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Estintori,Fitness/centro salute,Internet point,Lavaggio e stiratura biancheria,Pulizia calzature,Riscaldamento,Ristorante,Servizio congressi,SKY,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Carta Moneta,CartaSi,Diners,Eurocard,JBC,JCB,Maestro,Master Card,Visa","Francese,Inglese,Spagnolo,Tedesco",,"Congressi capacita' Max 100,Congressi capacita' Min 2,Numero sale congressi 8",9.2015898,45.4779186,"(45.4779186, 9.2015898)"
9529382,MI,MILANO,KLIMA HOTEL MILANO FIERE,Alberghiere,Alberghi 4 stelle,VIA VENEZIA GIULIA 8,20157,,,info@klimahotelmilanofiere.it,02 4550461,02 3557386,www.klimahotelmilanofiere.it (http://www.klimahotelmilanofiere.it),115,,230,115,,,,,,,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione gruppi,Area fumatori,Aria condizionata non centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Parcheggio custodito,Riscaldamento,Ristorante,Sala lettura separata,Servizi baby sitting,Servizio congressi,Servizio in camera,Televisione satellitare,Trasporto clienti stazione,WI-FI in aree comuni","American express,AmexCo,BAC,Bancomat,Bank Americard,Carta Moneta,CartaSi,Carte Blanche,Citibank,Diners,JCB,JTB,Master Card,Top Card,Tutte,Visa,Visa Electron","Arabo,Francese,Inglese,Rumeno,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 500,Congressi capacita' Min 2,Numero sale congressi 4",9.11863508,45.51475545,"(45.51475545, 9.11863508)"
9502862,MI,MILANO,MARCONI,Alberghiere,Alberghi 4 stelle,VIA FABIO FILZI 3,20124,,,info@marconihotel.it,02 66985561,02 6690738,www.marconihotel.it (http://www.marconihotel.it),68,,136,68,1,,,,,,,,1,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Parco o giardino,Riscaldamento,Sala lettura separata,Sala televisione separata,Servizi baby sitting,Servizio congressi,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,CartaSi,Carte Blanche,Diners,Eurocard,JBC,JCB,Maestro,Master Card,Visa,Visa Electron","Arabo,Francese,Inglese,Rumeno,Russo,Spagnolo,Tedesco",,"Congressi capacita' Max 45,Numero sale congressi",9.19894063,45.48219884,"(45.48219884, 9.19894063)"
9514078,MI,MILANO,SAN SIRO FIERA,Alberghiere,Alberghi 2 stelle,VIA NOVARA 371,20153,,,info@hotelsansirofiera.com,02 48206349,02 40917381,www.hotelsansirofiera.com (http://www.hotelsansirofiera.com),18,,29,19,1,,,,,,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Bar,Custodia valori in cassaforte,Estintori,Internet point,Parcheggio non custodito,Riscaldamento,Sala accoglienza,Sala televisione separata,WI-FI in aree comuni",Tutte,"Francese,Inglese",,,9.09751313,45.48105408,"(45.48105408, 9.09751313)"
9502072,MI,MILANO,PARADISO,Alberghiere,Alberghi 2 stelle,VIA BENEDETTO MARCELLO 85,20124,,,info@hotelparadisomilan.com,02 2049448,02 74234741,www.hotelparadisomilan.com (http://www.hotelparadisomilan.com),17,,33,18,1,,,,,,,,1,"Accettazione animali domestici,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassette sicurezza,Estintori,Internet point,Riscaldamento,WI-FI in aree comuni","American express,Bancomat,Master Card,Visa,Visa Electron","Inglese,Spagnolo",,,9.20928054,45.48245909,"(45.48245909, 9.20928054)"
9509987,MI,MILANO,NUOVO MARGHERA,Alberghiere,Alberghi 3 stelle,VIA MARGHERA 2,20149,,,info@hotel-marghera.com,02 4814321,02 4816043,www.hotel-marghera.com (http://www.hotel-marghera.com),50,,76,52,1,,,,,,,,,"Accesso a mezzi pubblici,Aria condizionata centralizzata,Ascensore,Bar,Estintori,Riscaldamento,Sala televisione separata,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Bank Americard,Carta Moneta,CartaSi,Diners,Eurocard,JCB,Key Client,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Spagnolo",,,9.15513085,45.46779864,"(45.46779864, 9.15513085)"
9509487,MI,MILANO,GARDEN,Alberghiere,Alberghi 2 stelle,VIA RUTILIA 6,20141,,,info@gardenmilano.it,02 55212838,02 57300678,www.gardenmilano.it (http://www.gardenmilano.it),23,,43,23,1,,,,,,,,,"Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Bar,Estintori,Parcheggio non custodito,Parco o giardino,Riscaldamento","Bancomat,CartaSi,Maestro,Master Card,Visa","Francese,Inglese",,,9.19858528,45.44010749,"(45.44010749, 9.19858528)"
9524743,MI,MILANO,ROSSOVINO,Alberghiere,Alberghi 2 stelle,VIA FRANCESCO BARTOLOZZI 9,20137,,,info@hotelrossovino.it,02 87242410,02 87242466,www.hotelrossovino.it (http://www.hotelrossovino.it),7,,11,6,,,,,,,,,,"Accesso a mezzi pubblici,Estintori,Riscaldamento,Servizio in camera","Bancomat,Carta Moneta,CartaSi,Key Client,Maestro,Master Card,Visa,Visa Electron","Arabo,Francese,Inglese",,,9.22701495,45.46117374,"(45.46117374, 9.22701495)"
9502783,MI,MILANO,MAZZINI,Alberghiere,Alberghi 3 stelle,VIA VITRUVIO 29,20124,,,info@hotelmazzini.com,02 29526600,02 29510253,www.hotelmazzini.com (http://www.hotelmazzini.com),18,,28,18,,,,,,,,,1,"Aria condizionata centralizzata,Ascensore,Estintori,Riscaldamento,Televisione satellitare","American express,Bancomat,Bank Americard,CartaSi,Master Card,Visa","Cinese,Inglese",,,9.2075026,45.48194173,"(45.48194173, 9.2075026)"
9509561,MI,MILANO,DELLE NAZIONI,Alberghiere,Alberghi 3 stelle,VIA ALFREDO CAPPELLINI 18,20124,,,info@hoteldellenazioni.net,02 66981221,02 6701804,www.hoteldellenazioni.net (http://www.hoteldellenazioni.net),81,12,156,81,,,,,,,,,1,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Biciclette per ospiti,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Jacuzzi/Idromassaggio,Lavaggio e stiratura biancheria,Parcheggio custodito,Riscaldamento,Roof garden,Sala lettura separata,Sala televisione separata,Servizio congressi,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,AmexCo,Bancomat,Bank Americard,Carta Moneta,CartaSi,Diners,Eurocard,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Rumeno,Russo,Spagnolo,Tedesco",,"Congressi capacita' Max 10,Congressi capacita' Min 2,Numero sale congressi",9.20270368,45.48140199,"(45.48140199, 9.20270368)"
9505707,MI,MILANO,REX,Alberghiere,Alberghi 3 stelle,VIA MARCO D'AGRATE 34,20139,,,rex@hotelrexmilano.it,02 533715,02 57401630,www.hotelrexmilano.it (http://www.hotelrexmilano.it),52,,104,52,,,,,,,,,,"Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Riscaldamento,Ristorante,SKY,WI-FI in aree comuni",,Inglese,,,9.21033819,45.43732839,"(45.43732839, 9.21033819)"
9504471,MI,MILANO,MANIN,Alberghiere,Alberghi 4 stelle,VIA DANIELE MANIN 7,20121,,,info@hotelmanin.it,02 6596511,02 6552160,www.hotelmanin.it (http://www.hotelmanin.it),124,1,222,127,,,,,,1,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Fitness/centro salute,Internet point,Lavaggio e stiratura biancheria,Parco o giardino,Pulizia calzature,Riscaldamento,Ristorante,Servizio congressi,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Bank Americard,Carta Moneta,CartaSi,Citibank,Diners,JBC,JCB,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Russo,Serbo,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 100,Congressi capacita' Min 10,Numero sale congressi 4",9.19583456,45.47344301,"(45.47344301, 9.19583456)"
9514416,MI,MILANO,NASCO,Alberghiere,Alberghi 4 stelle,CORSO SEMPIONE 69,20149,,,direzione@hotelnascomilano.it,02 31951,02 31952777,www.hotelnascomilano.it (http://www.hotelnascomilano.it),82,8,166,82,1,,,,,,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Jacuzzi/Idromassaggio,Lavaggio e stiratura biancheria,Pulizia calzature,Riscaldamento,Sala lettura separata,Sala televisione separata,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,AmexCo,BAC,Bancomat,Bank Americard,Carta Moneta,CartaSi,Carte Blanche,Citibank,Eurocard,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Olandese,Portoghese,Rumeno,Russo,Spagnolo,Tedesco",,"Congressi capacita' Max 30,Congressi capacita' Min 10,Numero sale congressi",9.15960842,45.48492252,"(45.48492252, 9.15960842)"
9526112,MI,MILANO,MY HOTEL MILANO,Alberghiere,Alberghi 2 stelle,VIA GIASONE DEL MAINO 14,20146,,,info@myhotelmilano.it,02 89456126,02 89456112,www.myhotelmilano.it (http://www.myhotelmilano.it),10,,12,8,1,,,,,,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione animali domestici,Custodia valori in cassette sicurezza,Estintori,Riscaldamento,WI-FI in aree comuni","Bancomat,Bank Americard,Carta Moneta,CartaSi,Maestro,Master Card,Visa,Visa Electron","Cinese,Francese,Inglese",,,9.15336216,45.46310199,"(45.46310199, 9.15336216)"
9509257,MI,MILANO,CAPITOL,Alberghiere,Alberghi 4 stelle,VIA DOMENICO CIMAROSA 6,20144,,,info@capitolmilano.com,02 438591,02 43859700,www.capitolmilano.com (http://www.capitolmilano.com),66,5,103,66,,,,,,1,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Estintori,Fitness/centro salute,Internet point,Jacuzzi/Idromassaggio,Lavaggio e stiratura biancheria,Parcheggio custodito,Riscaldamento,Ristorante,Sala accoglienza,Sala televisione separata,Servizio congressi,Servizio in camera,Televisione satellitare,WI-FI in aree comuni",Tutte,"Arabo,Francese,Inglese,Spagnolo",Fitness/centro salute,"Congressi capacita' Max 100,Congressi capacita' Min 15,Numero sale congressi 2",9.15901877,45.46647614,"(45.46647614, 9.15901877)"
9499708,MI,MILANO,STAZIONE,Alberghiere,Alberghi 2 stelle,VIA GIOVANNI BATTISTA PIRELLI 5,20124,,,info@hotelstazione.com,02 66980302,02 66713863,www.hotelstazione.com (http://www.hotelstazione.com),10,,19,10,,,,,,,,,1,"Accesso a mezzi pubblici,Aria condizionata centralizzata,Bar,Custodia valori in cassaforte,Estintori,Internet point,Riscaldamento,Servizio in camera,WI-FI in aree comuni","American express,Bancomat,CartaSi,Maestro,Master Card,Visa,Visa Electron","Inglese,Spagnolo",,,9.20211356,45.48435004,"(45.48435004, 9.20211356)"
9515064,MI,MILANO,STRAF,Alberghiere,Alberghi 4 stelle,VIA SAN RAFFAELE 3,20121,,,accounting@straf.it,02 805081,02 89095294,www.straf.it (http://www.straf.it),64,8,120,64,1,,,,,1,,,,"Access. diversamente abili parziale,Access. diversamente abili totale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Fitness/centro salute,Internet point,Lavaggio e stiratura biancheria,Parcheggio custodito,Parcheggio non custodito,Pulizia calzature,Riscaldamento,Ristorante,Servizi baby sitting,Servizio congressi,Servizio in camera,Trasporto clienti stazione,WI-FI in aree comuni","American express,Bank Americard,CartaSi,Diners,Eurocard,JCB,Master Card,Visa,Visa Electron","Arabo,Francese,Giapponese,Inglese,Rumeno,Russo,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 45,Congressi capacita' Min 5,Numero sale congressi",9.19135162,45.46521116,"(45.46521116, 9.19135162)"
